A blessing in disguise,a good thing that seemed bad at first,a good thing that seemed bad at first
A blessing in disguise,a good thing that seems bad at first,a good thing that seems bad at first
A blessing in disguise,something that seems bad at first,something that seems bad at first
A dime a dozen,Something common,Something common
A dime a dozen,very common,very common
A dime a dozen,Something usual,Something usual
A dime a dozen,Something average,Something average
Beat around the bush,Avoid saying what you mean usually because it is uncomfortable,Avoid saying what you mean usually because it is uncomfortable
Beat around the bush,Avoid saying what you mean because it is uncomfortable,Avoid saying what you mean because it is uncomfortable
Beat around the bush,Avoid saying what you mean,Avoid saying what you mean
Beat around the bush,Not saying what you mean usually because it is uncomfortable,Not saying what you mean usually because it is uncomfortable
Beat around the bush,Not saying what you mean,Not saying what you mean
Beat around the bush,Not saying what you mean because it is uncomfortable,Not saying what you mean because it is uncomfortable
Better late than never,Better to arrive late than not to come at all,Better to arrive late than not to come at all
Better late than never,Better to arrive late than not at all,Better to arrive late than not at all
Better late than never,Better to come late than not to come at all,Better to come late than not to come at all
Better late than never,Better to come late than not at all,Better to come late than not at all
Better late than never,Better to come late than to not come at all,Better to come late than to not come at all
Better late than never,Better to show up late than not at all,Better to show up late than not at all
Better late than never,Better to show up late than to not come at all,Better to show up late than to not come at all
Bite the bullet,To get something over with because it is inevitable,To get something over with because it is inevitable
Bite the bullet,To get something over with,To get something over with
Bite the bullet,To get something over with because you have to,To get something over with because you have to
Bite the bullet,To get something over with because you have to no matter what,To get something over with because you have to no matter what
Break a leg,Good luck,Good luck
Break a leg,Best of luck,Best of luck
Break a leg,Good fortune,Good fortune
Call it a day,Stop working on something,Stop working on something
Call it a day,Stop working,Stop working
Call it a day,Stop doing something,Stop doing something
Call it a day,Finish working on something,Finish working on something
Call it a day,End working on something,End working on something
Cut somebody some slack,Don't be so critical,Do not be so critical
Cut somebody some slack,Don't be so critical of me,Do not be so critical of me
Cut somebody some slack,Don't be so critical,Do not be so critical
Cutting corners,Doing something poorly in order to save time or money,Doing something poorly in order to save time or money
Cutting corners,Doing something poorly,Doing something poorly
Cutting corners,Doing something poorly to save time or money,Doing something poorly to save time or money
Cutting corners,Doing something poorly to save time,Doing something poorly to save time
Cutting corners,Doing something poorly to save money,Doing something poorly to save money
Easy does it,Slow down,Slow down
Get out of hand,Get out of control,Get out of control
Get out of hand,Out of control,Out of control
Get out of hand,Be out of control,Be out of control
Get something out of your system,Do the thing you've been wanting to do so you can move on,Do the thing you have been wanting to do so you can move on
Get something out of your system,Do the thing you've been wanting to do,Do the thing you have been wanting to do
Get something out of your system,Do what you've been wanting to do,Do what you have been wanting to do
Get something out of your system,Do what you've been wanting to do so you can move on,Do what you have been wanting to do so you can move on
Get your act together,Work better or leave,Work better or leave
Get your act together,Work better,Work better
Get your act together,Work more,Work more
Get your act together,Work better or else,Work better or else
Give someone the benefit of the doubt,Trust what someone says,Trust what someone says
Give someone the benefit of the doubt,Trust what others says,Trust what others says
Give someone the benefit of the doubt,Trust what people say,Trust what people say
Go back to the drawing board,Start over,Start over
Hang in there,Don't give up,Do not give up
Hang in there,Keep going,Keep going
Hang in there,You can do this,You can do this
Hang in there,Hang on,Hang on
Hit the sack,Go to sleep,Go to sleep
Hit the sack,Go to bed,Go to bed
Hit the sack,Take rest,Take rest
Hit the sack,To rest,To rest
Hit the sack,Rest,Rest
Hit the sack,Sleep,Sleep
It's not rocket science,It's not complicated,It is not complicated
It's not rocket science,It's not hard,It is not hard
It's not rocket science,It's not difficult,It is not difficult
It's not rocket science,It's not confusing,It is not confusing
It's not rocket science,It's easy,It is easy
It's not rocket science,It's simple,It is simple
Let someone off the hook,To not hold someone responsible for something,To not hold someone responsible for something
Let someone off the hook,To not hold someone responsible,To not hold someone responsible
Let someone off the hook,To not hold someone accountable for something,To not hold someone accountable for something
Let someone off the hook,To not hold someone accountable,To not hold someone accountable
Make a long story short,Tell something briefly,Tell something briefly
Make a long story short,Tell something concisely,Tell something concisely
Make a long story short,Tell something in short,Tell something in short
Miss the boat,It's too late,It is too late
No pain no gain,You have to work for what you want,You have to work for what you want
No pain no gain,You have to work hard for what you want,You have to work hard for what you want
No pain no gain,You have to work hard,You have to work hard
On the ball,Doing a good job,Doing a good job
On the ball,Doing a great job,Doing a great job
On the ball,Doing a fantastic job,Doing a fantastic job
On the ball,Doing a decent job,Doing a decent job
Pull someone's leg,To joke with someone,To joke with someone
Pull someone's leg,To joke around,To joke around
Pull someone's leg,To joke around with someone,To joke around with someone
Pull yourself together,Calm down,Calm down
Pull yourself together,Be calm,Be calm
Pull yourself together,Calm yourself down,Calm yourself down
Pull yourself together,Get it together,Get it together
So far so good,Things are going well so far,Things are going well so far
So far so good,Things are going well,Things are going well
So far so good,Things are going great,Things are going great
So far so good,Things are going good,Things are going good
So far so good,Things are going decently,Things are going decently
So far so good,Things are going fantastically,Things are going fantastically
So far so good,Things are going great so far,Things are going great so far
So far so good,Things are going good so far,Things are going good so far
So far so good,Things are going decently so far,Things are going decently so far
So far so good,Things are going fantastically so far,Things are going fantastically so far
Speak of the devil,The person we were just talking about showed up,The person we were just talking about showed up
Speak of the devil,The person we were talking about showed up,The person we were talking about showed up
Speak of the devil,The person we were speaking about showed up,The person we were speaking about showed up
Speak of the devil,The person we were just speaking about showed up,The person we were just speaking about showed up
Speak of the devil,The person we were just talking of showed up,The person we were just talking of showed up
Speak of the devil,The person we were just speaking of showed up,The person we were just speaking of showed up
That's the last straw,My patience has run out,My patience has run out
The best of both worlds,An ideal situation,An ideal situation
The best of both worlds,An ideal scenario,An ideal scenario
The best of both worlds,An ideal position,An ideal position
The best of both worlds,An ideal state of affair,An ideal state of affair
Time flies when you're having fun,You don't notice how long something lasts when it's fun,You do not notice how long something lasts when it is fun
Time flies when you're having fun,Times goes by faster when you're having fun,Times goes by faster when you are having fun
To get bent out of shape,To get upset,To get upset
